vce_school_name,acara_school_name,ACARA SML ID
Manangatang P-12 College,Manangatang P-12 College,45306
Manor Lakes P-12 College,Manor Lakes P-12 College,45580
Mansfield Secondary College,Mansfield Secondary College,45419
Maranatha Christian School,Maranatha Christian School,46226
Marcellin College,Marcellin College,45874
Marian College Ararat,Marian College,45700
Marian College Myrtleford,Marian College,46008
Marian College Sunshine,Marian College,45963
Maribyrnong Sec College,Maribyrnong Secondary College,45420
Marist - Sion College,Marist-Sion College,45875
Marist College Bendigo,Marist College Bendigo,50698
Marist Sion College,Marist-Sion College,45875
Mary MacKillop Catholic College,Mary MacKillop Catholic Regional College,46081
Maryborough Education Centre,Maryborough Education Centre,50200
Marymede Catholic College,Marymede Catholic College,46117
Mater Christi College,Mater Christi College,45970
Matthew Flinders Girls' SC,Matthew Flinders Girls Secondary College,45422
Mazenod College,Mazenod College,45996
McClelland Secondary College,McClelland Secondary College,45571
McGuire College,Greater Shepparton Secondary College,53105
McKinnon Secondary College,Mckinnon Secondary College,45436
Melba College,Melba Secondary College,45421
Melbourne City Mission,,
Melbourne Girls Grammar,Melbourne Girls Grammar,46157
Melbourne Girls' College,Melbourne Girls College,45557
Melbourne Grammar School,Melbourne Grammar School,46137
Melbourne High School,Melbourne High School,45423
Melbourne Montessori School,Melbourne Montessori School,46244
Melbourne Polytechnic,,
Melbourne Rudolf Steiner Schl,Melbourne Rudolf Steiner School,46230
Melbourne Senior Sec College,,
Melton Christian College,Melton Christian College,46303
Melton Secondary College,Melton Secondary College,45424
Mentone Girls' Grammar School,Mentone Girls' Grammar School,46195
Mentone Girls' Sec College,Mentone Girls Secondary College,45425
Mentone Grammar School,Mentone Grammar School,46184
Merbein P-10 College,Merbein P-10 College,45612
Mercy College,Mercy College,45985
Mercy Regional College,Mercy Regional College,45745
Merinda Park Learning Centre,,
Mernda Central P-12 College,Mernda Central P-12 College,52478
Methodist Ladies College,Methodist Ladies' College,46144
Mildura Senior College,Mildura Senior College,40562
Mill Park Secondary College,Mill Park Secondary College,45524
Minaret College,Minaret College,46321
Mirboo North Sec College,Mirboo North Secondary College,45426
Monbulk College,Monbulk College,45427
Monivae College,Monivae College,45893
Monterey Secondary College,Monterey Secondary College,45547
Montmorency Sec College,Montmorency Secondary College,45428
Mooroolbark College,Mooroolbark College,45429
Mooroopna Secondary College,Greater Shepparton Secondary College,53105
Mordialloc College,Mordialloc College,45431
Mornington Secondary College,Mornington Secondary College,45542
Mortlake College,Mortlake P-12 College,45184
Mount Alexander 7-12 Coll,Mount Alexander 7-12 College,45375
Mount Beauty Sec College,Mount Beauty Secondary College,45432
Mount Clear College,Mount Clear College,45339
Mount Eliza Sec College,Mount Eliza Secondary College,45433
Mount Erin College,Mount Erin Secondary College,45324
Mount Evelyn Christian School,Mount Evelyn Christian School,46229
Mount Lilydale Mercy College,Mount Lilydale Mercy College,45706
Mount Ridley P-12 College,Mount Ridley P-12 College,45585
Mount Rowan Secondary College,Mount Rowan Secondary College,45565
Mount Scopus Memorial College,Mount Scopus Memorial College,46208
Mount St Joseph Girls' College,Mount St Joseph Girls' College,45964
Mount Waverley Sec College,Mount Waverley Secondary College,45434
Mountain District Christian SC,Mountain District Christian School,46258
Mountain District Christian Schl,Mountain District Christian School,46258
Mountain District Comm College,Mountain District Community College,53091
Mountain District Learn Centre,,
Mountain District Women's Co-Op,,
Mt Hira College,Mt Hira College,46359
Mullauna College,Mullauna Secondary College,45519
Murrayville Community College,Murrayville Community College,45223
Murtoa P-12 College,Murtoa College,44306
Myrtleford P-12 College,Myrtleford P-12 College,40584
Nagle College,Nagle College,45933
Narre Community Learn Centre,,
Narre Warren Sth P-12 College,Narre Warren South P-12 College,45573
Nathalia Secondary College,Nathalia Secondary College,45438
Nazareth College,Nazareth College,46079
Neerim District Sec College,Neerim District Secondary College,45439
Newcomb Secondary College,Newcomb Secondary College,45440
Newhaven College,Newhaven College,46260
Nhill College,Nhill College,45569
Noble Park Secondary College,Noble Park Secondary College,45551
North Geelong Sec College,North Geelong Secondary College,45392
North Melbourne Grammar Coll,,
North Ringwood Comm House,,
Northcote High School,Northcote High School,45442
Northern Bay P-12 College,Northern Bay P-12 College,50291
Northern College of Arts & Tech,Northern College of the Arts and Technology,45341
Northern Melbourne Inst of TAFE,,
Northside Christian College,Northside Christian College,46251
Norwood Secondary College,Norwood Secondary College,45443
Nossal High School,Nossal High School,45594
Notre Dame College,Notre Dame College,45715
Numurkah Secondary College,Numurkah Secondary College,45444
Nunawading Christian College,Nunawading Christian College - Secondary,46231
Oakleigh Grammar,Oakleigh Grammar,46287
Oakwood School,Oakwood School,45468
Oberon High School,Oberon High School,45445
Officer Secondary College,Officer Secondary College,51485
OneSchool Global Vic,OneSchool Global Vic,46360
Orbost Secondary College,Orbost Secondary College,45446
Our Lady of Mercy College,Our Lady of Mercy College,45760
Our Lady of Sacred Heart Coll,Our Lady of the Sacred Heart College,45868
Our Lady of Sion College,Our Lady of Sion College,45823
Ouyen P-12 College,Ouyen P-12 College,45447
Overnewton Anglican Comm Coll,Overnewton Anglican Community College,46310
Oxley Christian College,Oxley Christian College,46255
Ozford College,Ozford College,40714
Padua College,Padua College,45713
Pakenham Secondary College,Pakenham Secondary College,45449
Parade College,Parade College,45629
Parkdale Secondary College,Parkdale Secondary College,45450
Parkville College,Parkville College,50576
Pascoe Vale Girls Sec College,Pascoe Vale Girls Secondary College,45452
Patterson River Sec College,Patterson River Secondary College,45509
Peninsula Grammar,Peninsula Grammar,46219
Peninsula Train & Employment,,
Penleigh & Essendon Grammar,Penleigh & Essendon Grammar School,46180
Penola Catholic College,Penola Catholic College,46096
Peter Lalor Secondary College,Peter Lalor Secondary College,45334
Peter Lalor Vocational Coll,,
Phoenix P-12 Comm Coll,Phoenix P-12 Community College,50268
Pines Learning,,
Plenty River College,Plenty River College,53092
Plenty Valley Christian College,Plenty Valley Christian College,46269
Point Cook Senior Sec College,Point Cook Senior Secondary College,40786
Portland Secondary College,Portland Secondary College,45534
Prahran Community Centre,,
Prahran Community Learn Centre,,
Prahran High School,Prahran High School,52698
Presbyterian Ladies' College,Presbyterian Ladies' College,46162
Presentation College,,
Preshil The Margaret Lyttle MS,"Preshil, The Margaret Lyttle Memorial School",46206
Preshil The Margaret Lyttle SC,"Preshil, The Margaret Lyttle Memorial School",46206
Preshil The Margaret Lyttle Schl,"Preshil, The Margaret Lyttle Memorial School",46206
Preston High School,Preston High School,52699
Preston Reservoir ACE,Preston Reservoir Adult Community Education Inc | Prace College,52482
Princes Hill Sec College,Princes Hill Secondary College,45454
Pyramid Hill College,Pyramid Hill College,44346
Rainbow P-12 College,Rainbow P-12 College,51482
Rainbow Secondary College,Rainbow P-12 College,51482
Red Cliffs Secondary College,Red Cliffs Secondary College,45458
Red Rock Christian College,Red Rock Christian College,46342
Reservoir High School,Reservoir High School,45498
Richmond High School,Richmond High School,52703
Ringwood Secondary College,Ringwood Secondary College,45459
River Nile School,River Nile School,52480
RMIT TAFE,,
Robinvale College,Robinvale College,52377
Robinvale P-12 College,Robinvale College,52377
Rochester Secondary College,Rochester Secondary College,45460
Rosebud Secondary College,Rosebud Secondary College,45461
Rosehill Secondary College,Rosehill Secondary College,45340
Rowville Secondary College,Rowville Secondary College,45512
Roxburgh College,Roxburgh College,45476
Rushworth P-12 College,Rushworth P-12 College,45310
Rutherglen High School,Rutherglen High School,45462
Ruyton Girls' School,Ruyton Girls' School,46138
Sacre Coeur,Sacre Coeur,45654
Sacred Heart College,Sacred Heart College,45672
Sacred Heart College Geelong,Sacred Heart College,45672
Sacred Heart College Kyneton,Sacred Heart College,45682
Sacred Heart Girls' College,Sacred Heart Girls' College,45922
Saint Ignatius College,Saint Ignatius College Geelong,45721
Sale College,Sale College,40726
Salesian College,Salesian College Chadstone,45870
Salesian College Sunbury,Salesian College Sunbury,45827
Sandringham College,Sandringham College,40620
Santa Maria College,Santa Maria College,45841
Scoresby Secondary College,Scoresby Secondary College,45463
Scotch College,Scotch College,46172
SEDA College,SEDA College (Victoria),52527
SEDA Group,,
Seymour College,Seymour College,40851
Shelford Girls' Grammar,Shelford Girls' Grammar,46183
Shepparton ACE College,Shepparton ACE Secondary College,40848
Shepparton ACE Sec College,Shepparton ACE Secondary College,40848
Shepparton Christian College,Shepparton Christian College,46344
Shepparton High School,Sherbrooke Community School,45316
Sherbrooke Community School,Siena College Ltd,45857
Siena College,Simonds Catholic College,45631
Simonds Catholic College,Simonds Catholic College,45631
Sirius College - Eastmeadows,Sirius College,46335
Sirius College - Ibrahim Dellal,Sirius College,46335
Sirius College - Keysborough,Sirius College,46335
Sirius College - Meadow Fair,Sirius College,46335
Skillsplus,,
SkillsPlus,,
Somerville Secondary College,Somerville Secondary College,45605
South Gippsland Sec College,Foster Secondary College,45389
South Oakleigh Sec College,South Oakleigh Secondary College,45539
South West Institute of TAFE,,
Southern Cross Grammar,Southern Cross Grammar,50394
Southern Grampians Adult Edu,,
Springside West Sec College,Springside West Secondary College,52594
St Albans Secondary College,St Albans Secondary College,45466
St Aloysius College,St Aloysius College,45735
St Andrews Christian College,St Andrews Christian College,46293
St Anne's College,St Anne's College,52735
St Arnaud Secondary College,St Arnaud Secondary College,45467
St Augustine's College,St Augustine's College,45739
St Bede's College,St Bede's College,45855
St Bernard's College,St Bernard's College,45864
St Brigid's College,St Brigid's College,45793
St Catherine's School,St Catherine's School,46178
St Columba's College,St Columba's College,45748
St Francis Xavier College,St Francis Xavier College,40621
St Helena Secondary College,St Helena Secondary College,45510
St John's Greek Orth College,St John's College Preston,46252
St John's Regional College,St John's Regional College,45932
St Joseph's College,St Joseph's College,45732
St Kevin's College,St Kevin's College,45848
St Leonard's College,St Leonard's College,46173
St Margaret's School,St Margaret's Berwick Grammar,46203
St Mary MacKillop College,St Mary MacKillop College,46085
St Mary of the Angels School,St Mary of the Angels College,45945
St Mary's College,St Mary's College,45660
St Mary's College Melbourne,St Mary's College Melbourne,45632
St Mary's Coptic Orth College,St Mary's Coptic Orthodox College,46320
St Michael's Grammar School,St Michael's Grammar School,46163
St Monica's College,St Monica's College,40615
St Patrick's College,St Patrick's College,45634
St Paul's Anglican Grammar Schl,St Paul's Anglican Grammar School,46277
St Peter's College,St Peter's College,46087
St Thomas Aquinas College,St Thomas Aquinas College,46346
Star of the Sea College,Star of the Sea College,45675
Staughton College,Staughton College,45336
Stawell Secondary College,Stawell Secondary College,45511
Stott's College,Stott's Colleges,50313
Strathcona Baptist Girls GS,Strathcona Baptist Girls' Grammar,46192
Strathmore Secondary College,Strathmore Secondary College,45469
Sunbury College,Sunbury College,45470
Sunbury Downs Sec College,Sunbury Downs Secondary College,45507
Sunraysia Institute of TAFE,,
Sunshine College,Sunshine College,45529
Surf Coast Sec College,Surf Coast Secondary College,50460
Suzanne Cory High School,Suzanne Cory High School,50301
Swan Hill College,Swan Hill College,45540
Swifts Creek P-12 School,Swifts Creek P-12 School,45623
Swifts Creek School,Swifts Creek P-12 School,45623
Swinburne Senior Sec College,Swinburne Senior Secondary College,40430
Swinburne Uni of Tech - TAFE,,
Sydney Road Community School,Sydney Road Community School,45471
TAFE Gippsland,,
Tallangatta Secondary College,Tallangatta Secondary College,45472
Tarneit Senior College,Tarneit Senior College,50459
Taylors College,,
Taylors Lakes Sec College,Taylors Lakes Secondary College,45527
Templestowe College,Templestowe College,45560
Terang College Sec Campus,Terang College,45307
The Bendigo Kangan Institute,,
The Centre,,
The David Scott School,David Scott School,52481
The Geelong College,The Geelong College,46159
The Grange P-12 College,The Grange P-12 College,45526
The Hamilton & Alexandra Coll,The Hamilton and Alexandra College,46167
The King David School,The King David School,46247
The Knox School,The Knox School,46274
The Lakes South Morang College,The Lakes South Morang College,45578
The Peninsula School,Peninsula Grammar,46219
Thomas Carr College,Thomas Carr College,46102
Thomastown Secondary College,Thomastown Secondary College,45473
Thornbury High School,Thornbury High School,45533
Timboon P-12 School,Timboon P-12 School,45321
Tintern Grammar,Tintern Grammar,46175
Tintern Schools,Tintern Grammar,46175
Toorak College,Toorak College,46177
Trafalgar High School,Trafalgar High School,45474
Training & Edu. Programs Aust.,,
Traralgon College,Traralgon College,40588
Trinity College Colac,Trinity College Colac Inc,45710
Trinity Grammar School,Trinity Grammar School Kew,46156
Trinity Lutheran College,Trinity Lutheran College,46272
Tyrrell College,Tyrrell College,45203
University High School,University High School,45475
Upper Yarra Community House,,
Upper Yarra Secondary College,Upper Yarra Secondary College,45477
Upwey High School,Upwey High School,45478
Vermont Secondary College,Vermont Secondary College,45479
Victoria Uni of Tech - TAFE,,
Victoria University - TAFE,,
Victoria University Polytechnic,,
Victoria University SC,,
Victorian College for the Deaf,Victorian College For The Deaf,44652
Victorian College of the Arts,Victorian College Of The Arts Secondary School,45344
Victory Christian College,Victory Christian College,46327
Victory Lutheran College,Victory Lutheran College,46323
Viewbank College,Viewbank College,45550
Village High School,Village High School,52861
Virtual School Victoria,Virtual School Victoria,45322
Wallan Secondary College,Wallan Secondary College,45532
Wanganui Park Sec College,Greater Shepparton Secondary College,53105
Wangaratta High School,Wangaratta High School,45483
Wantirna College,Wantirna College,45484
Warracknabeal Sec College,Warracknabeal Secondary College,45485
Warragul Regional College,Warragul Regional College,45563
Warrandyte High School,Warrandyte High School,45486
Warrnambool College,Warrnambool College,45549
Waverley Christian College,Waverley Christian College,46246
Wedderburn College,Wedderburn College,45323
Weeroona College Bendigo,Weeroona College Bendigo,45347
Wellington Secondary College,Wellington Secondary College,45487
Werribee Secondary College,Werribee Secondary College,45488
Werrimull P-12 College,Werrimull P-12 School,45318
Wesley College,Wesley College,46132
Westall Secondary College,Westall Secondary College,45490
Westbourne Grammar School,Westbourne Grammar School,46249
Western Heights Sec College,Western Heights Secondary College,45558
Western Port Sec College,Western Port Secondary College,45396
Western Senior Sec Coll,,
Wheelers Hill Sec College,Wheelers Hill Secondary College,45491
Whitefriars College,Whitefriars College Inc,45865
Whittlesea Secondary College,Whittlesea Secondary College,45348
William Angliss Inst of TAFE,,
William Ruthven Sec College,William Ruthven Secondary College,45627
Williamstown High School,Williamstown High School,40427
Wodonga Institute of TAFE,,
Wodonga Senior Sec College,Wodonga Senior Secondary College,40429
Wonthaggi Secondary College,Bass Coast College,40597
Woodleigh School,Woodleigh School,46391
Woodmans Hill Secondary College,Woodmans Hill Secondary College,52702
Wycheproof P-12 College,Wycheproof P-12 College,45567
Wyndham Central Sec Coll,Wyndham Central Secondary College,45346
Wyndham Comm & Educ Centre,,
Wyndham Community Centre,,
Xavier College,Xavier College,45696
Yarra Hills Sec Coll Mooroolbark,Yarra Hills Secondary College,50185
Yarra Hills Sec Coll Mt Evelyn,Yarra Hills Secondary College,50185
Yarra Hills Secondary College,Yarra Hills Secondary College,50185
Yarra Valley Community School,Cire Community School,51484
Yarra Valley Grammar School,Yarra Valley Grammar,46224
Yarram Secondary College,Yarram Secondary College,45493
Yarrawonga College P-12,Yarrawonga College P-12,45608
Yea High School,Yea High School,45494
Yeshivah College,Yeshivah College,46215
Yesodei HaTorah College,Yesodei HaTorah College,46376
Youth2Industry College,Youth2Industry College,52992
Yuille Park Community College,Yuille Park P-8 Community College,45268